player,shot_type,location,defender_distance,time_remaining,score_diff,shot_success
Player A,3PT,top of key,3.93,7,3,False
Player C,LAYUP,paint,1.48,6,1,True
Player A,3PT,top of key,3.64,8,-3,True
Player B,3PT,right wing,2.86,20,-6,False
Player B,LAYUP,paint,2.22,11,0,False
Player B,MIDRANGE,right wing,2.18,14,8,False
Player C,MIDRANGE,paint,1.26,17,-9,True
Player A,LAYUP,paint,2.96,15,5,True
Player A,LAYUP,right wing,0.59,5,-2,False
Player A,MIDRANGE,right wing,1.37,13,10,False
Player B,MIDRANGE,top of key,2.83,7,-7,False
Player B,LAYUP,right wing,1.24,3,-6,False
Player C,LAYUP,top of key,3.86,2,-6,False
Player C,3PT,paint,1.65,14,-7,True
Player B,LAYUP,right wing,2.85,5,-3,True
Player A,MIDRANGE,right wing,1.38,23,-8,True
Player B,MIDRANGE,left wing,0.65,13,10,True
Player B,3PT,left wing,3.99,5,1,False
Player B,MIDRANGE,left wing,2.98,22,8,False
Player C,LAYUP,top of key,3.61,12,0,False
Player B,3PT,top of key,0.53,14,5,False
Player A,LAYUP,right wing,0.52,1,0,True
Player B,MIDRANGE,top of key,1.27,22,-9,False
Player C,3PT,left wing,3.29,15,7,False
Player A,MIDRANGE,left wing,0.98,8,-2,True
Player A,3PT,left wing,3.81,5,5,True
Player B,MIDRANGE,right wing,1.25,4,-9,False
Player A,LAYUP,right wing,0.68,16,-2,False
Player A,MIDRANGE,top of key,2.42,9,-9,False
Player B,MIDRANGE,top of key,3.88,10,5,True
Player A,LAYUP,left wing,1.69,3,-2,True
Player C,LAYUP,left wing,0.92,9,10,True
Player C,3PT,paint,0.81,10,2,True
Player A,MIDRANGE,right wing,3.54,24,-6,True
Player C,3PT,right wing,2.98,9,-2,False
Player B,MIDRANGE,right wing,3.61,24,0,False
Player B,LAYUP,right wing,1.75,11,-8,True
Player B,LAYUP,paint,2.74,8,-3,True
Player C,MIDRANGE,left wing,1.45,5,-2,False
Player A,3PT,top of key,2.65,6,-6,False
Player A,LAYUP,right wing,1.25,14,-6,True
Player A,LAYUP,paint,2.82,2,3,False
Player B,MIDRANGE,paint,1.09,23,6,False
Player C,3PT,right wing,1.24,4,-7,False
Player A,LAYUP,top of key,3.54,23,2,False
Player A,MIDRANGE,paint,2.26,1,0,True
Player A,3PT,paint,3.63,1,4,False
Player C,LAYUP,top of key,1.13,4,-2,False
Player C,MIDRANGE,right wing,0.79,7,1,True
Player B,MIDRANGE,right wing,0.84,16,-5,False
Player A,3PT,paint,1.68,24,-9,False
Player B,MIDRANGE,paint,1.23,22,3,True
Player C,LAYUP,right wing,0.57,16,8,True
Player C,3PT,top of key,3.65,10,-7,False
Player C,3PT,paint,2.07,17,10,False
Player C,3PT,top of key,0.93,10,-1,False
Player C,3PT,left wing,2.7,10,10,True
Player C,3PT,left wing,1.17,16,-10,False
Player A,LAYUP,paint,0.82,13,10,True
Player B,LAYUP,left wing,3.85,6,-1,True
Player C,3PT,top of key,1.78,3,9,False
Player C,3PT,top of key,3.89,1,5,True
Player A,LAYUP,top of key,3.59,16,-2,True
Player C,3PT,top of key,1.36,17,1,False
Player C,MIDRANGE,right wing,0.79,15,-5,False
Player A,3PT,right wing,2.36,3,3,False
Player C,3PT,right wing,1.36,19,-6,True
Player A,MIDRANGE,left wing,3.83,14,5,False
Player A,3PT,paint,2.25,21,-9,True
Player C,3PT,left wing,1.19,13,1,False
Player C,LAYUP,top of key,2.59,3,9,True
Player A,3PT,left wing,1.69,22,-6,False
Player A,MIDRANGE,right wing,2.49,16,-2,False
Player B,3PT,paint,1.23,7,1,False
Player A,LAYUP,right wing,2.51,4,-3,True
Player A,MIDRANGE,right wing,2.06,19,9,False
Player B,3PT,paint,1.06,10,7,False
Player C,MIDRANGE,right wing,0.55,21,1,False
Player B,3PT,top of key,1.44,5,2,True
Player C,MIDRANGE,right wing,0.92,6,6,False
Player A,MIDRANGE,top of key,2.83,1,3,False
Player C,3PT,left wing,1.52,2,-2,False
Player C,MIDRANGE,top of key,0.58,4,-7,False
Player B,LAYUP,paint,2.3,14,0,True
Player C,MIDRANGE,left wing,2.06,22,1,False
Player C,3PT,paint,2.41,19,-3,False
Player C,MIDRANGE,paint,1.73,5,5,False
Player A,LAYUP,left wing,3.83,2,9,True
Player B,3PT,left wing,0.81,17,-9,False
Player B,MIDRANGE,paint,1.47,24,-3,True
Player A,3PT,paint,2.39,13,-8,False
Player B,3PT,top of key,2.42,23,7,False
Player B,3PT,left wing,2.73,4,7,True
Player B,LAYUP,top of key,3.69,5,4,True
Player C,3PT,top of key,1.27,22,-2,False
Player B,LAYUP,top of key,3.29,2,-7,False
Player A,MIDRANGE,right wing,1.27,18,-1,True
Player A,LAYUP,left wing,1.28,4,1,True
Player A,3PT,top of key,3.62,17,-2,False
Player A,LAYUP,top of key,1.57,16,-8,True
Player A,MIDRANGE,paint,2.35,2,-6,False
Player A,LAYUP,right wing,2.54,20,9,True
Player C,MIDRANGE,top of key,3.89,8,8,False
Player B,LAYUP,paint,1.06,4,3,True
Player C,LAYUP,left wing,3.65,24,-7,False
Player C,MIDRANGE,top of key,3.97,13,-4,False
Player B,MIDRANGE,left wing,1.15,24,-2,True
Player B,MIDRANGE,top of key,1.02,2,2,False
Player C,LAYUP,right wing,1.48,3,5,True
Player C,LAYUP,top of key,2.83,21,-3,False
Player A,MIDRANGE,top of key,0.56,15,-4,True
Player C,MIDRANGE,top of key,1.4,5,-6,False
Player B,LAYUP,right wing,2.15,5,-2,True
Player A,LAYUP,right wing,2.77,23,-9,False
Player A,LAYUP,left wing,0.66,8,-8,False
Player A,LAYUP,paint,2.03,18,5,True
Player A,MIDRANGE,left wing,0.61,13,-10,True
Player C,3PT,paint,3.26,14,8,True
Player C,3PT,left wing,3.55,12,-1,False
Player B,MIDRANGE,left wing,1.33,11,7,False
Player C,3PT,top of key,1.37,4,5,False
Player C,MIDRANGE,left wing,1.86,5,7,False
Player C,MIDRANGE,paint,1.55,7,6,True
Player A,MIDRANGE,paint,0.55,24,-1,False
Player A,3PT,top of key,2.91,15,7,False
Player A,3PT,paint,1.96,1,2,True
Player C,MIDRANGE,left wing,1.59,21,-3,False
Player A,LAYUP,left wing,3.05,23,5,True
Player A,3PT,paint,1.65,20,1,False
Player C,3PT,paint,2.79,12,9,True
Player B,LAYUP,top of key,2.38,20,-9,False
Player C,3PT,right wing,3.99,20,-1,True
Player C,3PT,right wing,1.72,9,-8,True
Player B,LAYUP,paint,1.55,18,-4,False
Player C,3PT,right wing,3.05,1,-10,True
Player B,3PT,right wing,2.69,3,3,True
Player B,MIDRANGE,paint,1.02,13,9,False
Player C,3PT,paint,3.8,23,3,False
Player B,LAYUP,left wing,1.28,19,-8,True
Player B,MIDRANGE,top of key,0.79,19,8,True
Player C,3PT,left wing,2.52,18,-1,False
Player B,3PT,left wing,1.17,3,-5,True
Player A,3PT,paint,2.99,16,-3,False
Player B,LAYUP,left wing,2.02,19,8,True
Player C,3PT,right wing,1.09,16,3,True
Player B,3PT,paint,0.58,17,-10,False
Player A,MIDRANGE,paint,1.66,14,-5,False
Player C,3PT,paint,1.31,10,-2,True
Player A,3PT,top of key,1.13,4,-1,True
Player B,3PT,top of key,0.93,13,-2,False
Player A,3PT,left wing,1.96,22,7,False
Player B,MIDRANGE,right wing,3.65,14,7,False
Player C,LAYUP,paint,3.53,13,3,True
Player C,3PT,right wing,1.82,7,3,False
Player B,3PT,left wing,1.84,18,5,True
Player B,3PT,top of key,3.9,2,-6,False
Player A,MIDRANGE,paint,1.88,7,5,True
Player B,LAYUP,right wing,0.8,5,4,True
Player B,MIDRANGE,right wing,2.59,17,4,True
Player C,3PT,right wing,3.12,17,10,True
Player A,3PT,paint,0.92,2,-8,True
Player A,3PT,paint,3.79,19,-9,True
Player B,MIDRANGE,left wing,2.16,5,-3,True
Player A,MIDRANGE,right wing,3.68,10,-1,False
Player C,MIDRANGE,top of key,0.94,8,0,True
Player C,3PT,top of key,2.45,8,-9,False
Player A,3PT,paint,3.29,3,-8,False
Player B,LAYUP,paint,3.09,10,-2,False
Player B,LAYUP,left wing,0.77,14,2,True
Player B,3PT,left wing,3.57,19,0,False
Player B,MIDRANGE,right wing,3.32,3,5,True
Player C,LAYUP,paint,3.99,23,5,True
Player A,MIDRANGE,top of key,2.27,11,-2,True
Player A,MIDRANGE,right wing,1.12,4,5,False
Player B,3PT,left wing,3.26,1,-6,True
Player B,MIDRANGE,paint,2.59,7,0,False
Player C,MIDRANGE,top of key,1.02,7,0,True
Player A,3PT,right wing,2.72,7,3,True
Player A,LAYUP,right wing,1.53,14,8,True
Player C,3PT,right wing,1.57,15,-10,True
Player A,MIDRANGE,right wing,0.57,22,6,True
Player C,LAYUP,left wing,2.64,11,-6,True
Player B,LAYUP,left wing,0.65,11,4,True
Player B,MIDRANGE,left wing,1.54,16,-1,False
Player A,MIDRANGE,top of key,1.25,2,-8,False
Player C,LAYUP,top of key,1.77,18,-4,True
Player B,LAYUP,left wing,3.72,5,-8,False
Player B,MIDRANGE,right wing,1.0,18,-7,False
Player C,MIDRANGE,right wing,3.24,1,-6,True
Player A,LAYUP,right wing,3.02,1,-9,True
Player B,3PT,paint,1.85,5,0,False
Player C,LAYUP,top of key,0.6,12,-8,True
Player C,LAYUP,right wing,1.96,6,8,True
Player C,3PT,left wing,0.7,15,-9,True
Player C,LAYUP,paint,2.87,12,4,False
Player B,3PT,left wing,3.46,23,-10,False
Player A,MIDRANGE,left wing,1.95,13,3,False
Player B,LAYUP,top of key,2.56,16,6,True
Player C,LAYUP,right wing,1.07,16,0,True
Player A,3PT,top of key,0.52,15,6,False
Player A,LAYUP,left wing,3.65,12,4,True
Player A,LAYUP,paint,3.45,13,-4,True
Player A,3PT,left wing,1.12,1,3,True
Player A,3PT,top of key,0.71,19,4,False
Player C,3PT,top of key,3.88,22,1,False
Player A,3PT,top of key,2.6,3,5,True
Player C,LAYUP,left wing,2.14,3,8,False
Player C,LAYUP,right wing,3.06,5,-2,True
Player C,MIDRANGE,left wing,1.74,21,0,True
Player C,3PT,right wing,1.92,6,4,True
Player B,3PT,paint,1.23,10,6,True
Player C,3PT,paint,1.05,17,-8,False
Player A,LAYUP,right wing,1.9,11,1,False
Player A,3PT,left wing,2.52,10,-2,False
Player A,MIDRANGE,left wing,1.93,21,0,True
Player C,LAYUP,paint,2.13,17,-1,True
Player A,MIDRANGE,top of key,1.53,2,-7,True
Player B,LAYUP,left wing,3.34,16,-7,True
Player C,LAYUP,right wing,2.73,16,1,True
Player C,3PT,right wing,0.93,7,5,False
Player B,3PT,paint,2.08,6,10,False
Player C,LAYUP,left wing,2.34,11,-1,False
Player A,LAYUP,paint,1.97,9,-3,True
Player A,MIDRANGE,top of key,1.92,20,-8,True
Player A,MIDRANGE,paint,0.75,17,0,True
Player C,MIDRANGE,right wing,3.57,3,-1,False
Player A,LAYUP,left wing,1.91,12,8,True
Player B,3PT,right wing,3.59,10,-4,False
Player B,MIDRANGE,right wing,2.78,12,-7,False
Player C,LAYUP,left wing,2.15,18,-8,True
Player A,MIDRANGE,paint,1.95,13,9,True
Player C,3PT,left wing,1.48,7,6,False
Player C,MIDRANGE,top of key,2.3,2,5,True
Player B,MIDRANGE,paint,3.79,17,2,False
Player C,3PT,right wing,1.63,10,-9,False
Player B,LAYUP,top of key,2.44,1,-10,True
Player C,LAYUP,right wing,3.74,6,-6,True
Player A,MIDRANGE,left wing,1.02,11,-8,True
Player A,LAYUP,paint,1.95,4,10,True
Player A,3PT,right wing,3.2,23,0,False
Player C,LAYUP,left wing,3.82,4,1,True
Player A,3PT,left wing,1.05,23,-7,False
Player C,LAYUP,top of key,1.62,7,-7,False
Player B,3PT,left wing,3.05,1,-10,False
Player B,LAYUP,right wing,0.68,3,-1,True
Player A,MIDRANGE,left wing,3.2,10,-1,False
Player C,3PT,paint,3.15,24,-9,False
Player B,LAYUP,paint,0.79,21,5,True
Player A,3PT,left wing,3.82,23,-3,True
Player B,3PT,left wing,1.56,13,2,False
Player A,3PT,left wing,2.14,21,-2,False
Player A,LAYUP,paint,1.76,21,-3,True
Player C,MIDRANGE,left wing,0.84,7,-1,False
Player B,LAYUP,left wing,2.23,6,0,True
Player C,3PT,right wing,0.96,18,-10,True
Player A,3PT,top of key,3.02,22,-3,False
Player A,LAYUP,top of key,2.34,12,4,True
Player B,MIDRANGE,paint,1.28,4,9,True
Player A,3PT,paint,1.44,2,4,False
Player A,3PT,paint,2.81,20,7,False
Player C,LAYUP,right wing,0.82,15,6,False
Player C,3PT,right wing,1.05,19,3,True
Player C,MIDRANGE,right wing,2.78,19,-10,True
Player A,3PT,top of key,2.29,2,-9,False
Player C,MIDRANGE,right wing,3.46,20,-7,True
Player C,3PT,top of key,2.11,15,-1,False
Player C,3PT,left wing,1.62,11,10,False
Player A,LAYUP,right wing,3.09,10,-1,True
Player C,MIDRANGE,paint,2.68,20,-7,True
Player B,3PT,left wing,2.74,11,2,False
Player C,LAYUP,right wing,1.61,11,-1,False
Player A,LAYUP,left wing,1.55,8,-6,True
Player A,LAYUP,left wing,1.58,7,6,True
Player A,3PT,right wing,1.56,23,-8,False
Player B,3PT,right wing,1.34,22,0,False
Player B,3PT,top of key,0.88,12,-10,False
Player A,3PT,paint,1.75,14,-8,False
Player B,LAYUP,top of key,3.15,11,7,False
Player B,3PT,left wing,2.37,14,3,True
Player A,3PT,left wing,3.28,12,-8,False
Player A,3PT,left wing,1.74,24,2,False
Player B,3PT,top of key,2.17,16,2,False
Player A,3PT,top of key,0.67,24,-1,True
Player A,3PT,paint,1.07,23,-7,False
Player A,MIDRANGE,paint,1.64,4,1,False
Player C,LAYUP,paint,3.59,7,-7,False
Player B,LAYUP,right wing,0.52,1,10,True
Player B,3PT,left wing,1.11,23,4,False
Player B,3PT,top of key,2.53,19,7,True
Player B,LAYUP,top of key,0.7,4,5,True
Player B,3PT,left wing,1.86,7,9,False
Player A,MIDRANGE,paint,2.67,10,-4,False
Player B,LAYUP,paint,2.73,4,4,True
Player C,3PT,left wing,1.78,3,2,False
Player A,3PT,paint,1.32,2,-10,False
Player B,3PT,paint,1.96,1,-2,True
Player C,3PT,left wing,2.59,14,4,False
Player C,MIDRANGE,top of key,3.61,2,-10,False
Player C,LAYUP,top of key,3.51,8,-7,True
Player C,3PT,top of key,1.32,1,6,False
Player C,3PT,top of key,2.6,6,5,False
Player A,MIDRANGE,paint,1.44,16,-7,False
Player A,3PT,paint,1.7,20,0,False
Player C,MIDRANGE,right wing,2.82,9,-10,False
Player A,3PT,paint,3.61,16,-5,False
Player C,LAYUP,left wing,1.05,17,2,True
Player B,MIDRANGE,left wing,1.27,17,2,False
Player B,LAYUP,left wing,0.73,9,-8,False
Player B,MIDRANGE,left wing,3.84,20,-6,False
Player C,3PT,paint,2.99,8,5,True
Player A,LAYUP,right wing,2.97,21,5,False
Player C,MIDRANGE,paint,2.14,3,-2,False
Player C,MIDRANGE,right wing,1.17,3,2,False
Player A,LAYUP,top of key,3.36,7,-3,True
Player A,MIDRANGE,left wing,1.18,8,-9,True
Player C,3PT,top of key,3.5,14,0,False
Player A,3PT,paint,1.71,16,-5,False
Player A,3PT,paint,2.07,22,-8,False
Player A,MIDRANGE,left wing,3.17,5,-6,False
Player A,3PT,top of key,3.96,10,4,False
Player B,3PT,right wing,3.45,20,-8,True
Player B,MIDRANGE,left wing,3.99,15,8,True
Player C,LAYUP,left wing,3.13,18,9,False
Player B,LAYUP,paint,2.24,22,-6,True
Player A,3PT,right wing,2.56,7,0,False
Player A,MIDRANGE,left wing,1.31,8,2,True
Player C,MIDRANGE,right wing,1.01,16,-2,False
Player A,MIDRANGE,right wing,2.71,6,-2,False
Player A,3PT,right wing,3.76,5,-3,True
Player A,3PT,right wing,2.1,16,-1,True
Player B,MIDRANGE,right wing,1.84,24,10,False
Player C,3PT,left wing,3.39,14,-5,False
Player A,MIDRANGE,right wing,3.17,14,-9,True
Player B,3PT,paint,1.77,16,-9,True
Player B,LAYUP,top of key,2.56,21,-4,True
Player C,3PT,right wing,2.69,21,-6,False
Player A,LAYUP,left wing,1.51,17,7,True
Player B,MIDRANGE,top of key,2.87,17,-2,True
Player C,3PT,left wing,0.67,4,-3,False
Player A,3PT,paint,3.95,11,3,False
Player A,LAYUP,top of key,2.57,15,-10,True
Player B,LAYUP,paint,3.21,1,0,True
Player B,3PT,top of key,3.13,4,10,True
Player C,LAYUP,top of key,0.96,17,-1,False
Player B,3PT,top of key,3.39,3,3,True
Player C,MIDRANGE,right wing,2.65,12,-1,False
Player A,LAYUP,top of key,1.29,20,2,False
Player B,LAYUP,right wing,3.76,11,9,True
Player A,3PT,top of key,1.45,6,-1,True
Player B,LAYUP,top of key,3.77,17,3,True
Player B,MIDRANGE,top of key,2.35,6,6,False
Player C,MIDRANGE,top of key,1.0,16,7,True
Player C,LAYUP,right wing,3.86,13,0,False
Player A,LAYUP,left wing,1.84,8,5,False
Player C,MIDRANGE,right wing,1.38,15,5,True
Player A,3PT,left wing,1.98,9,-7,False
Player C,LAYUP,top of key,1.4,12,-9,False
Player B,MIDRANGE,paint,3.72,4,3,False
Player C,3PT,paint,3.86,19,-7,False
Player C,MIDRANGE,right wing,1.04,2,-2,False
Player B,3PT,paint,0.62,11,5,True
Player A,LAYUP,top of key,1.71,14,5,False
Player C,3PT,paint,1.13,5,-2,False
Player A,3PT,right wing,3.78,23,5,False
Player C,LAYUP,paint,0.62,8,5,False
Player C,LAYUP,top of key,2.58,6,-4,True
Player C,LAYUP,top of key,3.37,17,-4,True
Player C,LAYUP,top of key,1.25,13,-3,True
Player A,MIDRANGE,paint,1.81,16,0,True
Player C,LAYUP,paint,2.66,10,5,False
Player A,3PT,right wing,3.29,1,-4,True
Player A,3PT,paint,3.14,8,10,False
Player B,LAYUP,left wing,3.96,19,-3,False
Player B,3PT,left wing,0.66,17,6,False
Player B,MIDRANGE,paint,2.62,23,-1,False
Player C,LAYUP,paint,1.8,4,-5,True
Player B,3PT,paint,3.69,12,2,True
Player B,3PT,right wing,1.43,2,-4,False
Player B,3PT,left wing,0.52,11,9,False
Player B,LAYUP,left wing,0.57,23,-4,True
Player B,MIDRANGE,top of key,3.27,14,-3,True
Player B,3PT,top of key,0.67,22,4,False
Player B,MIDRANGE,top of key,3.12,17,7,False
Player C,3PT,right wing,0.58,20,-2,False
Player C,LAYUP,paint,2.36,4,-10,False
Player B,MIDRANGE,right wing,3.65,13,-5,False
Player B,3PT,left wing,3.79,24,-1,False
Player A,3PT,left wing,1.37,16,-5,True
Player B,LAYUP,paint,2.83,6,-9,True
Player C,MIDRANGE,top of key,3.99,3,9,False
Player A,LAYUP,right wing,1.0,18,-4,True
Player A,3PT,top of key,3.16,12,-3,False
Player C,LAYUP,right wing,1.6,13,-7,False
Player C,LAYUP,left wing,3.15,10,-3,True
Player B,3PT,right wing,0.7,5,1,True
Player A,MIDRANGE,right wing,0.81,7,8,True
Player C,MIDRANGE,top of key,1.53,3,7,False
Player A,3PT,top of key,2.99,23,0,True
Player A,MIDRANGE,left wing,3.1,15,-6,True
Player B,3PT,right wing,1.21,24,-1,False
Player B,MIDRANGE,top of key,2.62,13,-10,False
Player C,LAYUP,top of key,3.84,18,-9,True
Player B,3PT,left wing,3.04,14,2,False
Player C,MIDRANGE,paint,2.03,22,6,False
Player B,MIDRANGE,paint,2.44,13,-4,True
Player C,LAYUP,right wing,2.25,7,-3,True
Player A,MIDRANGE,left wing,2.68,9,6,False
Player C,3PT,top of key,1.49,16,1,False
Player B,3PT,right wing,1.41,24,6,False
Player A,MIDRANGE,left wing,3.87,14,2,False
Player C,MIDRANGE,top of key,3.16,6,7,True
Player A,LAYUP,right wing,3.51,23,-5,True
Player A,MIDRANGE,paint,2.56,7,-5,True
Player A,3PT,paint,2.41,20,-10,True
Player C,LAYUP,paint,1.24,11,-4,True
